-116.92601,32.919,Barona Resort & Casino,1932 Wildcat Canyon Road Lakeside CA 92040,(619) 443-2300,directions,Yes,3.7 Stars,https://www.barona.com,Features gaming tables plus 2000 slots and video poker machines.,https://www.youtube.com/watch?v=ygPEns9QVZ0
-117.26101,33.33711,Pala Casino Spa & Resort,1932 Wildcat Canyon Rd Lakeside CA 92040,(760) 510-5100,directions,Yes,3.5 Stars,https://www.palacasino.com/home/,Perks include numerous restaurants and bars a casino and a theater.,https://www.youtube.com/watch?v=DPPqRAGbcbU
-117.17702,32.69201,Lucky Lady Casino and Card Room,5526 El Cajon Boulevard San Diego CA 92115,(619) 287-6690,directions,No,3.3 Stars,http://www.luckyladysd.com/,Offers poker games blackjack baccarat plus a lounge with dancing & DJs.,https://www.youtube.com/watch?v=GB-Oxd6c6ig
-117.22401,32.68201,Palomar Card Club,2724 El Cajon Blvd San Diego CA 92104,(619) 280-5828,directions,No,3.1 Stars,http://www.palomarcardclub.com/,No Limit Poker & other card games are offered at several tables.,https://www.youtube.com/watch?v=JDXeeWAoDFE
-116.9262111,32.74206,Sycuan Casino,5485 Casino Way El Cajon CA 92019,(619) 445-6002,directions,No,3.4 Stars,http://www.sycuan.com/,Table games slots & poker plus 5 eateries & live entertainment,https://www.youtube.com/watch?v=vMeV5DhHp4s
-117.18401,32.60901,Seven Mile Casino,285 Bay Blvd Chula Vista CA 91910,(619) 425-3333,directions,No,4.2 Stars,http://www.sevenmilecasino.com/,This club offers card games such as blackjack & poker plus drinks & food.,https://www.youtube.com/watch?v=Tp3gPw5ShPE
-117,32.79043,Viejas Casino & Resort,5000 Willows Rd Alpine CA 91901,(619) 445-5400,directions,Yes,4.1 Stars,http://viejas.com/,Has 2000 slots and gaming tables plus ran by the Viejas Band of Kumeyaay.,https://www.youtube.com/watch?v=UX5oFes1fzQ
-117.12432,33.20706,Valley View Casino & Hotel,16300 Nyemii Pass Pl Valley Center CA 92082,(760) 291-5500,directions,Yes,3.2 Stars,http://www.valleyviewcasino.com/,With views of the Palomar Mountain Range this modern casino hotel.,https://www.youtube.com/watch?v=k_uACjxw_s4
-117.42901,33.18811,Ocean’s Eleven Casino,121 Brooks St Oceanside CA 92054,(760) 439-6988,directions,No,3.7 Stars,http://www.oceans11.com/,Features blackjack poker tournaments a sports bar & an great food menu.,https://www.youtube.com/watch?v=8zs6Y9tt41M
-117.15401,33.30322,Casino Pauma,777 Pauma Reservation Rd Pauma Valley CA 92061,(760) 742-2177,directions,No,3.5 Stars,http://www.casinopauma.com/,Gambling venue offering poker slots & table games plus live entertainment.,https://www.youtube.com/watch?v=BjyIeHbvMI8
-117.33701,33.41301,Pechanga Resort & Casino,45000 Pechanga Pkwy Temecula CA 92592,(951) 693-1819,directions,Yes,3.8 Stars,https://www.pechanga.com/,Resort has rooftop nightclub and an Arthur Hills-designed golf course.,https://www.youtube.com/watch?v=Rflqv5f-HuA
